spu_code,country,product_id
S240516000816,CZ,1729836771695040711
S240117001284,GB,1729404072986381998
S230805000565,FR,1729517445273721518
S231017002176,DE,1729512148883118766
S231103000470,US,1729412878467306158
S240516000802,AT,1729835730261219527
S230925002398,AT,1729845242079583051
S240110001643,GB,1729403973294133067
S230913002841,CZ,1729845929389693771
S240514002232,AT,1729836134257432775
S240611003308,AT,1729836133324462279
S230627005609,BE,1729851709620459634
S230628004022,CZ,1729872945537129211
S240614004093,ES,1729489698590530021
S240516000468,IT,1729480738072467655
S240308005321,DE,1729586952428558747
S230922006110,DE,1729511524773305006
S230623001927,DE,1729507135927393012
S230715001865,DE,1729517086715779758
S230909002701,FR,1729535564204382894
S240126001171,DE,1729498612373559707
S240624005640,BE,1729848522429798968
S230714007059,BE,1729851497996130748
S230623001929,CZ,1729851740976618228
S240702005997,BE,1729848043421014403
S230614000045,CZ,1729848493075176184
S240313006988,CZ,1729841784579660148
S240516001556,AT,1729835721227344071
S240505000827,BE,1729851772782876942
S231117003326,BE,1729848879179406192
S230721000832,CZ,1729885241405577902
S231106002537,ES,1729563146298497569
S231205001739,GR,1729850702714739099
S230524000322,ES,1729518623687023278
S240228002477,ES,1729489414395763099
S240619003492,CZ,1729835721128057031
S240425006405,CZ,1729841917526514232
S240605001901,FR,1729480013794154695
S240417002211,DE,1729497728621779704
S231106002537,DE,1729563149771184673
S240605001901,AT,1729836132952873159
S240304006163,AT,1729849976243591384
S240513003054,BE,1729835721295632583
S240228002477,CZ,1729852109095410075
S231031002089,CZ,1729848414675639028
S230828003623,DE,1729537074876226222
S240110001441,DE,1729518497823300427
S240214000183,DE,1729480627456481585
S230626003430,GB,1729400035312832203
S240612006904,ES,1729488691292904184
S240416006597,GB,1729408510606019971
S240617006065,DE,1729481943359921066
S231108000687,FR,1729563055178750497
S240304005976,FR,1729480064594909709
S240417002211,CZ,1729855097958144760
S240120000300,ES,1729494670801214186
S240502000447,ES,1729508590815386443
S240626001899,DE,1729507770786945223
S231031002089,AT,1729848414805007092
S240308005321,AT,1729880148528896411
S240704005317,BE,1729851471048121061
S240516000468,BE,1729835721200933063
S240615000236,BE,1729873942338902367
S240608004083,GB,1729417852782022140
S230627004305,GB,1729400586301312686
S240514002232,DE,1729488488889292999
S240624005615,FR,1729480137025624632
S240408000462,DE,1729480028241565966
